ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship,Value
293529,University,Gonzaga University,Yes,0,0.00%,Yes,0
293531,University,Gonzaga University,No,1,100.00%,No,100
293533,University,Gonzaga University,I don't use Tinder,0,0.00%,No,0
293535,University,Washington State University,Yes,8,30.80%,No,30.8
293537,University,Washington State University,No,12,46.20%,Yes,46.2
293539,University,Washington State University,I don't use Tinder,6,23.10%,No,23.1
293541,University,Michigan State University,Yes,0,0.00%,No,0
293543,University,Michigan State University,No,1,100.00%,No,100
293545,University,Michigan State University,I don't use Tinder,0,0.00%,Yes,0
293547,University,Florida International University,Yes,0,0.00%,No,0
293549,University,Florida International University,No,2,100.00%,No,100
293551,University,Florida International University,I don't use Tinder,0,0.00%,No,0
293553,University,University of Central Florida,Yes,0,0.00%,Yes,0
293555,University,University of Central Florida,No,0,0.00%,No,0
293557,University,University of Central Florida,I don't use Tinder,1,100.00%,Yes,100
293559,University,Castleton State College,Yes,0,0.00%,No,0
293561,University,Castleton State College,No,1,100.00%,No,100
293563,University,Castleton State College,I don't use Tinder,0,0.00%,No,0
293565,University,Cal State Northridge,Yes,0,0.00%,Yes,0
293567,University,Cal State Northridge,No,2,66.70%,No,66.7
293569,University,Cal State Northridge,I don't use Tinder,1,33.30%,No,33.3
293571,University,Ohio University,Yes,0,0.00%,No,0
293573,University,Ohio University,No,1,100.00%,Yes,100
293575,University,Ohio University,I don't use Tinder,0,0.00%,No,0
293577,University,Pepperdine University,Yes,0,0.00%,No,0
293579,University,Pepperdine University,No,2,100.00%,No,100
293581,University,Pepperdine University,I don't use Tinder,0,0.00%,Yes,0
293583,University,Providence College,Yes,0,0.00%,No,0
293585,University,Providence College,No,1,100.00%,Yes,100
293587,University,Providence College,I don't use Tinder,0,0.00%,No,0
293589,University,Appalachian State University,Yes,16,13.90%,No,13.9
293591,University,Appalachian State University,No,53,46.10%,No,46.1
293593,University,Appalachian State University,I don't use Tinder,46,40.00%,Yes,40
293595,University,University of Connecticut,Yes,0,0.00%,No,0
293597,University,University of Connecticut,No,3,37.50%,No,37.5
293599,University,University of Connecticut,I don't use Tinder,5,62.50%,No,62.5
293601,University,"University of Wisconsin, Eau Claire",Yes,1,100.00%,Yes,100
293603,University,"University of Wisconsin, Eau Claire",No,0,0.00%,No,0
293605,University,"University of Wisconsin, Eau Claire",I don't use Tinder,0,0.00%,No,0
293607,University,University of Delaware,Yes,1,25.00%,No,25
293609,University,University of Delaware,No,2,50.00%,Yes,50
293611,University,University of Delaware,I don't use Tinder,1,25.00%,No,25
293613,University,Massachusetts Institute of Technology,Yes,0,0.00%,Yes,0
293615,University,Massachusetts Institute of Technology,No,1,50.00%,No,50
293617,University,Massachusetts Institute of Technology,I don't use Tinder,1,50.00%,No,50
293619,University,Oregon State University,Yes,0,0.00%,No,0
293621,University,Oregon State University,No,1,100.00%,Yes,100
293623,University,Oregon State University,I don't use Tinder,0,0.00%,No,0
293625,University,Whatsgoodly University,Yes,0,0.00%,No,0
293627,University,Whatsgoodly University,No,1,100.00%,No,100
293629,University,Whatsgoodly University,I don't use Tinder,0,0.00%,Yes,0
293631,University,Case Western Reserve University,Yes,7,22.60%,No,22.6
293633,University,Case Western Reserve University,No,12,38.70%,No,38.7
293635,University,Case Western Reserve University,I don't use Tinder,12,38.70%,No,38.7
293637,University,Michigan Technological University,Yes,0,0.00%,Yes,0
293639,University,Michigan Technological University,No,3,75.00%,No,75
293641,University,Michigan Technological University,I don't use Tinder,1,25.00%,Yes,25
293643,University,"Meridian, Idaho",Yes,1,100.00%,No,100
293645,University,"Meridian, Idaho",No,0,0.00%,No,0
293647,University,"Meridian, Idaho",I don't use Tinder,0,0.00%,No,0
293649,University,University of Dayton,Yes,4,57.10%,Yes,57.1
293651,University,University of Dayton,No,3,42.90%,No,42.9
293653,University,University of Dayton,I don't use Tinder,0,0.00%,No,0
293655,University,University of Kansas,Yes,3,30.00%,No,30
293657,University,University of Kansas,No,5,50.00%,Yes,50
293659,University,University of Kansas,I don't use Tinder,2,20.00%,No,20
293661,University,Morehead State University,Yes,0,0.00%,No,0
293663,University,Morehead State University,No,0,0.00%,No,0
293665,University,Morehead State University,I don't use Tinder,1,100.00%,Yes,100
293667,University,University of Central Oklahoma,Yes,1,50.00%,No,50
293669,University,University of Central Oklahoma,No,0,0.00%,Yes,0
293671,University,University of Central Oklahoma,I don't use Tinder,1,50.00%,No,50
293673,University,Syracuse University,Yes,4,44.40%,No,44.4
293675,University,Syracuse University,No,4,44.40%,No,44.4
293677,University,Syracuse University,I don't use Tinder,1,11.10%,Yes,11.1
293679,University,Colby College,Yes,1,7.10%,No,7.1
293681,University,Colby College,No,11,78.60%,No,78.6
293683,University,Colby College,I don't use Tinder,2,14.30%,No,14.3
293685,University,Brigham Young University,Yes,1,12.50%,Yes,12.5
293687,University,Brigham Young University,No,3,37.50%,No,37.5
293689,University,Brigham Young University,I don't use Tinder,4,50.00%,No,50
293691,University,Arkansas State University,Yes,0,0.00%,No,0
293693,University,Arkansas State University,No,1,100.00%,Yes,100
293695,University,Arkansas State University,I don't use Tinder,0,0.00%,No,0
293697,University,"Westport, CT",Yes,0,0.00%,Yes,0
293699,University,"Westport, CT",No,0,0.00%,No,0
293701,University,"Westport, CT",I don't use Tinder,1,100.00%,No,100
293703,University,Centre College,Yes,0,0.00%,No,0
293705,University,Centre College,No,3,75.00%,Yes,75
293707,University,Centre College,I don't use Tinder,1,25.00%,No,25
293709,University,Middlebury College,Yes,1,100.00%,No,100
293711,University,Middlebury College,No,0,0.00%,No,0
293713,University,Middlebury College,I don't use Tinder,0,0.00%,Yes,0
293715,University,North Carolina State,Yes,1,100.00%,No,100
293717,University,North Carolina State,No,0,0.00%,No,0
293719,University,North Carolina State,I don't use Tinder,0,0.00%,No,0
293721,University,University of Kentucky,Yes,0,0.00%,Yes,0
293723,University,University of Kentucky,No,1,100.00%,No,100
293725,University,University of Kentucky,I don't use Tinder,0,0.00%,Yes,0
293727,University,Bucknell University,Yes,1,100.00%,No,100
293729,University,Bucknell University,No,0,0.00%,No,0
293731,University,Bucknell University,I don't use Tinder,0,0.00%,No,0
293733,University,Randolph-Macon College,Yes,0,0.00%,Yes,0
293735,University,Randolph-Macon College,No,0,0.00%,No,0
293737,University,Randolph-Macon College,I don't use Tinder,1,100.00%,No,100
293739,University,Old Dominion University,Yes,1,100.00%,No,100
293741,University,Old Dominion University,No,0,0.00%,Yes,0
293743,University,Old Dominion University,I don't use Tinder,0,0.00%,No,0
293745,University,University of Tampa,Yes,0,0.00%,No,0
293747,University,University of Tampa,No,1,100.00%,No,100
293749,University,University of Tampa,I don't use Tinder,0,0.00%,Yes,0
293751,University,Roger Williams University,Yes,0,0.00%,No,0
293753,University,Roger Williams University,No,1,100.00%,Yes,100
293755,University,Roger Williams University,I don't use Tinder,0,0.00%,No,0
293757,University,Penn State University,Yes,4,40.00%,No,40
293759,University,Penn State University,No,5,50.00%,No,50
293761,University,Penn State University,I don't use Tinder,1,10.00%,Yes,10
293763,University,Minnesota State University Mankato,Yes,1,100.00%,No,100
293765,University,Minnesota State University Mankato,No,0,0.00%,No,0
293767,University,Minnesota State University Mankato,I don't use Tinder,0,0.00%,No,0
293769,University,University of Florida,Yes,0,0.00%,Yes,0
293771,University,University of Florida,No,1,100.00%,No,100
293773,University,University of Florida,I don't use Tinder,0,0.00%,No,0
293775,University,Boston College,Yes,0,0.00%,No,0
293777,University,Boston College,No,4,80.00%,Yes,80
293779,University,Boston College,I don't use Tinder,1,20.00%,No,20
293781,University,Boston University,Yes,2,33.30%,Yes,33.3
293783,University,Boston University,No,3,50.00%,No,50
293785,University,Boston University,I don't use Tinder,1,16.70%,No,16.7
